"HMP ID","GOLD ID","Organism Name","Domain","NCBI Superkingdom","HMP Isolation Body Site","Project Status","Current Finishing Level","NCBI Submission Status","NCBI Project ID","Genbank ID","Gene Count","IMG/HMP ID","HOMD ID","Sequencing Center","Funding Source","Strain Repository ID","",
"1","Gi03551","Abiotrophia defectiva ATCC 49176","BACTERIAL","Bacteria","oral","Complete","Level 3: Improved-High-Quality Draft","6. annotation (and sequence) public on NCBI site","33011","ACIN00000000","1950","643886181","HOMD: tax_389","Washington University Genome Sequencing Center","NIH-HMP Jumpstart Supplement","ATCC 49176, CIP 103242",
"4","Gi03555","Achromobacter piechaudii ATCC 43553","BACTERIAL","Bacteria","airways","Complete","Level 2: High-Quality Draft","6. annotation (and sequence) public on NCBI site","46343","ADMS00000000","5755","647000200","","Baylor College of Medicine","NIH-HMP Jumpstart Supplement","ATCC 43553, CIP 55774, LMG 6100",
"5","Gi03554","Achromobacter xylosoxidans C54","BACTERIAL","Bacteria","airways","Complete","Level 5: Non-contiguous Finished","6. annotation (and sequence) public on NCBI site","38739","ACRC00000000","6010","0","HOMD: tax_343","Broad Institute","NIH-HMP Jumpstart Supplement","BEI HM-235",
"10","Gi03422","Acinetobacter baumannii ATCC 19606","BACTERIAL","Bacteria","urogenital_tract","Complete","Level 2: High-Quality Draft","6. annotation (and sequence) public on NCBI site","38509","ACQB00000000","3832","647533101","HOMD: tax_554","Broad Institute","NIH-HMP Jumpstart Supplement","ATCC 19606, DSM 6974",
"12","Gi03421","Acinetobacter calcoaceticus RUH2202","BACTERIAL","Bacteria","skin","Complete","Level 2: High-Quality Draft","6. annotation (and sequence) public on NCBI site","38337","ACPK00000000","3632","646206267","","Broad Institute","NIH-HMP Jumpstart Supplement","LMG 10517",
"13","Gi03424","Acinetobacter sp. SH024","BACTERIAL","Bacteria","skin","Complete","Level 2: High-Quality Draft","6. annotation (and sequence) public on NCBI site","41947","ADCH00000000","3703","647533108","","Broad Institute","NIH-HMP Jumpstart Supplement","CCUG 57818",
"14","Gi03423","Acinetobacter sp. RUH2624","BACTERIAL","Bacteria","skin","Complete","Level 2: High-Quality Draft","6. annotation (and sequence) public on NCBI site","38511","ACQF00000000","3693","647533107","","Broad Institute","NIH-HMP Jumpstart Supplement","LMG 10617",
"15","Gi02597","Acinetobacter haemolyticus ATCC 19194","BACTERIAL","Bacteria","airways","Complete","Level 2: High-Quality Draft","6. annotation (and sequence) public on NCBI site","43187","ADMT00000000","3491","647000202","","Baylor College of Medicine","NIH-HMP Jumpstart Supplement","ATCC 19194",
"16","Gi03420","Acinetobacter johnsonii SH046","BACTERIAL","Bacteria","skin","Complete","Level 2: High-Quality Draft","6. annotation (and sequence) public on NCBI site","38339","ACPL00000000","3434","646206268","","Broad Institute","NIH-HMP Jumpstart Supplement","CCUG 57820",
"17","Gi03418","Acinetobacter lwoffii SH145","BACTERIAL","Bacteria","skin","Complete","Level 2: High-Quality Draft","6. annotation (and sequence) public on NCBI site","38343","ACPN00000000","3202","646206270","","Broad Institute","NIH-HMP Jumpstart Supplement","CCUG 57819",
